Index_Id,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
10, on 11/14/16 16:16 PM (PST),Sky ,2017 Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Audi 2017 SQ5 Quattro Blows Past Porsche Macan," If you love performance, yet want something excellent in the snow  - this is your car...",5
11, on 02/08/18 11:27 AM (PST),asy ,2015 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Sq5 2015, Sq5 2015 Is awesome.,5
12, on 01/06/16 17:16 PM (PST),Jeffrey ,2015 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),S4 in a bigger body, Very fun car to drive. I've had 2 S4s (2012 and 2014) and now own a 2016 SQ5 and couldn't be happier. The next Q5's are going to be made in Mexico.,5
13, on 12/23/15 15:37 PM (PST),Bart Andeer ,2015 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),What a dissapointment," If interested, you may want to read my reviews on the 2002 Audi S8 (massive engine failure despite excellent service history), 2014 Q5 TDI (Expensive Vibrator).  I also have a 2008 S5 Coupe (so far, so good but it's going soon).  So, this review is not in a vacuum, but with some real Audi ownership experience.  OK, cut to the chase - in Florida Lemon Law circus at present.  It was disappointing with delivery of the car.  The interior is made as cheaply as possible and it shows.  This is not the el cheapo standard seating.  Buzzers going off, alarms going off all the time.  Sport Utility Vehicle.  Well, utility is a joke.  Doors lock when you don't want them to, alarms and warnings going off.  Between Health & Safety and the accountants, the car is pathetic.  Can't even turn the radio off without shutting off the Navigation.   These are but annoyances really.  The real joy began on a long road trip, right after the 5,000 mile service.  About 300 miles into the trip the add oil light came on.  Pulled off into a service station and could not find the oil dip stick.  Called the dealer (Reeves of Tampa, of whom I've been dealing with with the other Audi's and Porsche and think highly of) and informed that they don't have dip sticks.  Well, the upshot of the trip was that I would add maybe 1/3 of a quart every 500 miles.  The day I got home I brought it in and they had it for about a week, said it was fixed and within 110 miles it was telling me to add oil again.  They then had it for two weeks (Total 15 days for Lemon Law) and again the light came on.  Now the purpose of the car is my commute to work, from Tampa, FL to outside New Orleans, LA.  I can't be late looking for Audi dealers to see if I really need oil or not.  So, I then started the Lemon Law process.  Audi had 10 days to respond, but took 14 days.  I took the car back to Reeve for the final repair attempt.  They are allowed 10 days, but took 15 days.  I was told it was fixed, but the lights are on again.  The Better Business Bureau that one must go through stated today that Audi considers the car fixed.  Funny, I just took it to the dealer again today to have them manually check the oil before my next road trip.I'm totally disgusted with Audi Engineering (which seems to be run by accounting these days) and their customer support.  I have not ever had anyone from Audi give a courtesy call and sincerely state that they are sorry for my situation.  Rather, they just basically ignore the timelines set forth by the State of Florida.  Now whether that is due to arrogance, incompetence or being understaffed (due to more accountant management) I can't say, but it is not very impressive what ever the case is.  I requested that this be resolved by 23 December as I have to travel for business again, but that request was not acknowledged.""Truth in Engineering""???  maybe they should revise to ""Truth is, it's Value Engineering"".  Just a suggestion....Update.  While waiting for the arbitration hearing I took it in for the 15,000 mile service with the agreement that there would be no tampering or repair attempts.  After the service the yellow oil idiot light does not come on.  Fixed, well, not exactly.  I took it to another mechanic, had him drain about 2 qts of oil out and that yellow oil light still won't come on, and the computer screen is now different.  Hmmm, change the oil and these things magically change as well.  I'm letting the Federal Trade Commission & FL Attorney General's Office figure that out.  The complaint is under Unfair & Deceptive Business Practices. Finally had the Florida Arbitration Hearing, they ruled in my favor (3-0) but the law is so lame that the settlement was not acceptable to me.  Again attempted to settle this with Audi & Reeves Tampa Audi to no avail.  Now waiting for a court date under the Magnuson-Moss Warranty Act.  Nearly one year sense the problem started.**Update**  One week prior to the pre trial hearing we went to mediation.  Volkswagen decided after a very brief negotiation to give me essentially what I had been asking for for over a year and pay my attorney's fees as well, and of course that the poorly engineered and overpriced piece of junk (my opinion) back.  I am actually getting rid of my other Audi, an S5 coupe this week.  I want nothing to do with Volkswagen or the local dealership (Reeves Audi of Tampa) in the future due to the way I've been treated.  I have been a gentleman through this entire process, but was bullied, lied to and had the dealership play games which have been reported to the Federal Trade Commission and the Florida Attorney General's office for unfair & deceptive business practices.  Used that dealership for 15 years with Porsche & Audi.  No more!Just received an email from Edmunds to update the review.  Nothing more to add, other than I can't imagine myself ever purchasing another product under VW.Again, I just received an email from Edmunds to update the review.  Nothing to edit",1
14, on 11/11/15 14:37 PM (PST),William ,2015 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),SQ5 Great Drive But," The 2015 SQ5 has a great drive!  But the MMI system is the pits.  Too many buttons, levers, dials, etc. to search for and too many actions with them before what you want to happen does happen and too much time looking away from the road while searching for what you want.  But it is fun to drive, good size, fairly comfortable, too expensive, visibility not the best, and, considering cost,  behind somewhat in technology.",4
15, on 03/27/17 12:38 PM (PDT),JW ,2016 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Loving My First Audi," Purchased my very first Audi in May 2016...new SQ5!  Had been shopping around for Audi Q3 and also Porsche Macan S.  Test drove the SQ5 one day and new this was the Audi for me.  The performance for a mid-size CUV is impressive.  Great acceleration and stopping power for a performance vehicle.  The quality of craftsmanship/materials is outstanding.  Love the interior design and seats...very comfortable and have great support. The carbon-fiber trim and matte chrome trim in the dash and doors add a very nice and elegant touch.  Love the Google maps feature and wifi hotspot feature.  The Bang and Oulfsen sound system is first rate in a vehicle in this price category.  While many have complained of no USB ports, this can be easily remedied by the USB plug adapter which so far has worked just fine.  Overall I'm very impressed and pleased with the Audi SQ5.  I smile every time I get behind the wheel.  I'm definitely an Audi fan!",5
16, on 08/02/16 08:57 AM (PDT),Roy Hilton ,2016 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),SQ5 Dream machine, First of all Edmunds price promise was great.All dealers gave different discounts so we just picked the best one that had the SQ5 with all the options we wanted. Only had the car 2 weeks but just completed a trip to Canada and it is just a pleasure to drive. I've had other sports cars before and we just traded a 2014 Jeep Grand Cherokee for the Audi. No Comparison. Besides the original price the Audi is in another league. Hopefully I'll be saying the same in a few years.,5
17, on 05/26/16 08:15 AM (PDT),Steve Mance ,2016 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),2106 Audi SQ5, Love this car so far.,5
18, on 03/30/16 17:22 PM (PDT),Quattro ,2016 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Debadged sleeper," Can be driven quiet, smooth and refined or turn up the performance and still keep the smooth and refined ride but with an amazing soundtrack. So much more fun than a Macan, save the $$, express some individuality and retain some credibility.It's the thinkers' choice. Now 2 years later and still very pleased, has the same, if not better, well proven real life performance as a Macan Turbo or AMG GLC without the obvious overtones or questionable Korean Car Show looks.",5
19, on 12/09/15 20:49 PM (PST),German Affactianado ,2016 Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Super sporty for a truck," Legacy of many sports cars here with a small collection, but first sport SUV.  Traded a 2013 335i sport line which was an amazing car.   Acceleration is less in SQ5 than the Bimmer, but everything else is extremely comparable.   Handling tightly the curvy NC mountain roads, crushing light to light performance on the straight roads of Florida, limo like feel for the date nights with my wife, and of course Quattro safety.   Cannot say enough great things.   My wife is a hard sell on my sports car addiction, but this car  is now her daily driver passing by our corvettes, BMW M4, and others including a Hummer that she calls ""too slow"" (and it is).  Accolades to Audi.   We keep coming back, and have had A6 4.2, S4 Cabrio, but this is our best Audi yet.",5
20, on 09/30/15 08:28 AM (PDT),Jim ,2016 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),What a sleeper of a CUV! This vehicle scoots!," I love my SQ5!I really thought I wanted the Porsche Macan S, which similarly configured would have cost me about $2 grand more. It had a better interior, certainly more head turning appeal and better steering. The practical side of me thought the Audi will net fewer tickets if for no other reason than the police wouldn’t get as big of a thrill writing a ticket on an Audi. Besides, this is my daily driver and bottom line was the best “practical” choice of the two.Now the pros/cons: The good – Wow! What a fun driving experience! It sits up high and accelerates like an S4/S6, even besting the hp output. I can’t say enough about how much fun this vehicle is to drive! It stops quickly and has a solid feeling stance as it hugs the road. The WiFi and Google maps round out a very nice technology package (I will always want Google Maps from here on in every vehicle). So the bad: no USB ports (really!?!) and a small 7.5” screen in a car today seems tiny. Rounding out my dislikes is storage space is not great and the steering, although tight is not what I would expect from a German-made premium vehicle.The overall sporty drive, understated classy looks, ride comfort and technology make this one of my favorite cars to own. I look for reasons to run out for something just to drive it!Lastly, golf clubs will fit fore to aft if you slide the rear seats forward a couple inches.",5
21, on 12/17/17 22:08 PM (PST),vamsy procua ,2014 Audi SQ5 SUV 3.0 Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),I Allways enjoy the car.," Very nice car but if your planning get ready to change the Tires for every 15-18KIm on 42k now, Changed Tires Twice already.Waiting for SQ7 ",3
22, on 10/07/17 14:54 PM (PDT),L. Welchel ,2014 Audi SQ5 SUV 3.0 Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),A spectacular failure," I see great reviews here for this vehicle and I'd add my name to the list of praise. Great vehicle. Fast. Well-made. Roomy. In fact the only complaint I have is how 'worthless' the car was after I'd driven it 50K plus. The disastrous resale was shockingly terrible. It makes you look at the SQ5 in a whole new light. Brutal. Worse than you'd expect. Did I say terrible? But owning this vehicle has been flawless. It delivered everything I expected. I wished the ride wasn't so hard and seats so unforgiving. But that's the tight ride quality sacrifice, it is a wickedly fast beast and can handle itself easily with all that going on. With room for whole family and much more. A really expensive reality of owning this car is the tires. 2K per 25-30K mi. Kinda eye-opening. Strangely, the MPG never bothered me, it was very good for a beast like this. Final opinion: a bummer of toxic-level bad resale value and operating costs-- yet a brilliant, awesome vehicle.",4
23, on 11/19/13 23:22 PM (PST),rick277 ,2014 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),SUV & Sports Car in 1, I had a 2011 Audi convertible which i loved. But I needed a little more room. After one test drive in the SQ5 I could not stop thinking about it until I bought it. I have the prestige model with the silver inlay dash accents. The SUV inside and out is a real beauty. The engine is so smooth and fast its amazing. I have only had a month but I can not wait to drive it everyday. ,5
24, on 10/10/13 16:37 PM (PDT),michaelcaz ,2014 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),It just keeps getting better every time I drive it...," I bought this car because I was dying for an upgrade, needed more storage than my previous sedan, and really wanted something that brought a smile to my face when I hit the gas.This car is the absolute best all around vehicle I've ever owned.It's fast, elegant, comfortable... I can't say enough good things.It's so striking inside and out.I park it and stare back as I walk away.The LEDs are gorgeous, the interior is exquisite, and the engine sounds incredible.Add the 21"" Wheel package which is a great value at $800, and the Bang and Olufsen sound system is a must.It sounds amazing and is worth the $850 price tag.",5
25, on 08/31/13 07:29 AM (PDT),swdunham ,2014 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),2014 SQ5," Just got mine a month ago and love it! Ride, build, and looks are sweet. Too early to give much of a review... but for now I'm loving it!",4.75
26, on 07/17/18 16:09 PM (PDT),Jtstex2266 ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),Beguiled Buyer," Purchased leave return. I loved the way it looked, made heads turn, the power, and fuel mileage.  Bought certified lease return because they come with a 100,000 mile warranty.  Made me feel safe.  The car started using a lot of oil. Audi refills for free. The car started using 1/2 every 1000 miles.  I was told normal. It still ran like scalded dag.  I finally complained enough at the dealership that they ""marked"" my engine and did an oil consumption test at 78,000 miles.  The engine was shot.  It needed new pistons and rings.  Worse news oil consumption is NOT covered by Audi's extended warranty.  I also learned the 2.0 turbo aluminum block does NOT have steel sleeves.  I wont even discuss the rotor issue, sun roof failure, oil separator failure......etc.",1
27, on 07/13/18 11:10 AM (PDT),monasun ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),My Audi CarPlay," Out of all the car in the world, I chose this one.  Sure I also wanted 35 mpg.  But it get a true 28.1 on my first highway drive.  And the comfort factor along with the B&0 speaker system.  (Sweet).  No problems so far.  But I'm deciding on an extended warranty to address any expensive problems.  I love this car...",4
28, on 06/20/18 12:32 PM (PDT),jd ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),Loved my car until it died," I bought my Audi Q5 new in 2012 after owning a VW Passat wagon which handled like a dream, but couldn't handle upstate NY pot holes. I maintained my Audi religiously through the dealership, all recalls were done when notified. At 80,000, (2010?)suddenly I had to start adding oil b4 the next oil change service. I questioned the dealership and was told that was to be expected because of the age of the vehicle & to keep adding oil. This continued for 2 1/2 years, and being continually reassured by the dealership. The oil light was coming on more frequently, I kept adding more oil. 2 months ago I went to a different dealership-(the original dealer is no longer dealing in Audi). They told me my pistons were bad, something had been manufactured incorrectly and there had been an issue that Audi knew of. To rectify the problem would cost me $6000. - again the dealer told me to just keep adding oil.  I checked into it on the internet- class action suit years 2008-2011. My car is an early 2012-manufacturered 02/12. Contacted Audi told me to pay 4 an oil compression test, which didn't happened in time. My car is currently sitting in my driveway,@ 109,000 miles, undriveable and awaiting a tow truck because it suddenly does no more than 23 miles an hour.  Audi's not sure what my out come will be!? AND that I should prepared myself for the outcome.  WOW talk about stabbing loyal owners in the back. Get a Mercedes, BMW or Volvo.",3
29, on 06/03/18 11:23 AM (PDT),ChicagoDriver ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),Turbo Lag spoils the fun, A really nice size little sport utility vehicle that has a really hard time after stoplight,3
30, on 06/03/18 11:23 AM (PDT),ChicagoDriver ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),Turbo Lag spoils the fun, A really nice size little sport utility vehicle that has a really hard time after stoplight,3
31, on 01/17/18 10:53 AM (PST),George E ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),Good device, Good SUV in looks and to drive.,5
32, on 12/26/17 08:49 AM (PST),Miss Erica ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),My dream come true, Shop around for the lowest interest rate.,5
33, on 10/27/17 19:05 PM (PDT),b forla@aol.com ,2012 Audi Q5 SUV 3.2 Premium Plus quattro 4dr SUV AWD (3.2L 6cyl 6A),Q5 Audi--Very overrated and Un-reliable," I purchased this Audi Q5 from the original owner with 23000 on it. The brake rotors and pads were replaced at 19000 miles. I should have questioned this service at such low mileage--big mistake. I take excellent care of a car and drive it in a very sensible manner. It needed brakes again at 35000 miles, including rotor replacement.  At 38500 it had to have major engine repair--too much carbon build in the engine. It was over three years old, so the warranty was gone.  Big $$$ to repair. Fuel injectors needed replacement at 42000 miles. In summary, I would describe this high dollar car as poor quality, unreliable, very expensive to maintain and very overrated. The local Audi dealer is good, but with labor rates at $135.00 per Hr. well it just is not worth it. I would not recommend an Audi nor will I purchase one in the future",2
34, on 07/09/17 12:08 PM (PDT),Dave Feldman ,2012 Audi Q5 SUV 3.2 Premium Plus quattro 4dr SUV AWD (3.2L 6cyl 6A),Q5," Reliable, safe, comfortable and fun to drive!",5
35, on 07/09/16 06:11 AM (PDT),NM ,2012 Audi Q5 SUV 3.2 Premium Plus quattro 4dr SUV AWD (3.2L 6cyl 6A),Great Little SUV," I bought my 2012 Q5 brand new.  I chose the 3.2 engine because when I test drove the 2.0, I couldn't stand the way the turbo charger whined every time the car shifted. I love the way it hugs the road. I have driven in snow and ice without chains or studded tires and never had a problem. The back seats are not that comfortable for long trips though. It really should be considered a four seater unless the center seat in the back is occupied by a car seat.  The biggest complaint I have about this vehicle are the oversized side view mirrors. I have to make a point of looking all around them. A couple of times I could not see the people in the crosswalk because the driver side mirror was blocking them completely. I once cut off a motorcycle because he was behind the passenger side mirror. I need to look into after-market smaller side mirrors. The cargo room with the rear seats in the upright position could be a little larger. Great turning radius. Handles really well. Best car for teenager to learn to drive. Quiet. Working the navigation system is confusing.  Not a great paint job. My dog's nails left a deep scratch in the bumper while he was getting into the cargo area.",4
36, on 04/28/16 11:09 AM (PDT),Jack C. ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),2012 AUDI Q5 - IT'S A LEMON!," I bought this car new in 2012. Four years later the engine died, and the dealership wanted to charge me $6,100 to essentially replace the entire top half of the engine, due to a timing chain defect, and they refused to pay anything toward it. Absolutely unacceptable for a car that's basically new, with only approximately 75,000 miles on it. I made sure that I took it for an oil change every 3,000 miles and regularly scheduled service. If you are planning on purchasing an Audi Q5, DON'T DO IT! Do your online research (timing chain/transmission/etc.) and you'll see how poorly made these vehicles are.",1
37, on 01/27/16 09:33 AM (PST),Janette2020 ,2012 Audi Q5 SUV 2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),"Very Sporty, great quality but"," This 2012 car (Premium) was not even on my radar as I wanted another sporty SUV but they did not have the color and specs I wanted. So my husband and I came across the Audi Q5 and was like no way because of the name, maintenance costs associated and the funky controls but when we test drove it plus the low mileage (off of a lease), I fell in love.  I think my husband more so.  It was sporty, luxurious (black w/brown leather interior), not too big.  I was not crazy about getting a 4cyl coming from a Lexus RX300 6cyl because I like a little pedal power but the sport mode seemed to have enough get up and go.  Now that I have had the car almost 9 months I can adequately give an informed review on my first Audi, albeit used and extensive.  PROS:   It is definitely a sporty, luxurious SUV, love the look of the interior and exterior especially the inside lights at night; nice sound system, great gas mileage, roomy trunk, roof etc.  Interior quality is nice and for a 4cyl it has nice power in turbo/sport mode.  CONS:  I felt like I needed a Ph.D. in Audi.  It is not intuitive, e.g. sunroof.  Like other reviewers, the multimedia system can be confusing and is disappointing especially the location because although I use the wheel controls I still find myself looking down and that is dangerous.  I feel like I'm controlling an aircraft or an ultrasound machine with the rotary dial, push, turn, push turn dial; some of my FM stations don't always come in unless I hit my presets.  My 20 yr old son and I cannot believe I have to buy several adapters in order to listen to  music on our iphones.  Other cars have easier bluetooth hookups than this car.   Putting the adapter in the glove box was just idiotic. Radio text should be automatic.  The Navigation is old and useless because Audi wants you to buy a cd for updated maps...not.  Let's not even talk about the brake dust every two seconds.  The backseat is a little tight but even tighter for 3 people as the hump takes up leg room.  I am coming up on 30k and the maintenance schedule says to change spark plugs at 35k???  Really?  Spark plugs should last 75k-100k!?  Overall I love the look and feel of the Q5 but I paid for the name and look.  The maintenance costs are too high at Audi.  Although I did my research which had many good reviews, but at this price ($35k), I do not think I would ever buy a used 4cyl again (despite turbo) at this price point with so many issues or lack of certain things as stated above. I will keep this car for a few more years and probably give it to my son and hope it lasts 10-15 years like my Lexus but will go back to a 6cyl SUV that is sporty with easier ""touch"" controls and less issues.",3
38, on 10/15/15 20:43 PM (PDT),JLM ,2012 Audi Q5 SUV 3.2 Premium Plus quattro 4dr SUV AWD (3.2L 6cyl 6A),Car of my dreams turns out to be a dud!," I've wanted this car for 4 years. I finally purchased one after test driving all other vehicles in its class just to be sure. Only 35k miles when I purchased and was a lease return (keep in mind I made sure they put new rotors and break pads on the vehicle when I purchased it). I have owned this car less than one year and put 20k miles on it. I had completed the 45k mile service no problem. Just took it in for the 55k service and was told it needed new brake pads and rotors along with brake fluid flush, oil pressure valve replacement and of course that's on top of the $399 price tag for the 'normal' maintenance at 55k miles. All of that totalling $2,300!! And I haven't even owned the vehicle for a year. I knew that audi's were expensive to fix but did not realize the poor quality of the factory parts such as brake pads and rotors. I'm not a crazy driver and take pride in driving my car gently only occasionally speeding and braking when needed. On a side note the blue tooth is horrible and the navigation is useless. After this experience I have lost faith in Audi. I definitely will not be purchasing one again. I do not feel that this car is worth the price tag...disappointing altogether.",2
